DIP-53N|refseq:NP_057869|uniprotkb:P17095,DIP-953N|refseq:NP_003111|uniprotkb:P17947,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-76E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],
DIP-468N|uniprotkb:P39429,DIP-407N|uniprotkb:P19438,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-79E,dip-quality-status:core,dip:0002(small scale),['Cytoplasm'],
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-483N|uniprotkb:P01579,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-89E,dip-quality-status:core,dip:0002(small scale),,
DIP-950N|refseq:NP_032386|uniprotkb:P70380,DIP-175N|uniprotkb:P29466,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-90E,dip-quality-status:core,dip:0002(small scale),,
DIP-268N|refseq:NP_004337|uniprotkb:P42574,DIP-950N|refseq:NP_032386|uniprotkb:P70380,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-91E,dip-quality-status:core,dip:0002(small scale),,
DIP-226N|uniprotkb:P14859,DIP-977N|refseq:NP_035266|uniprotkb:Q64693,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-121E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),,['Nucleus']
DIP-421N|refseq:NP_066402|uniprotkb:P06899,DIP-493N|uniprotkb:Q62311,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-151E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),,['Nucleus']
DIP-493N|uniprotkb:Q62311,DIP-496N|refseq:NP_005635|uniprotkb:Q16514,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-174E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale),['Nucleus'],
DIP-493N|uniprotkb:Q62311,DIP-1078N|refseq:NP_003185|uniprotkb:P20226,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction)|MI:0218(physical interaction),DIP-175E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale)|dip:0002(small scale),['Nucleus'],
DIP-493N|uniprotkb:Q62311,DIP-717N|refseq:NP_005504|uniprotkb:P29083,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-176E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],
DIP-285N|refseq:NP_003780|uniprotkb:Q15628,DIP-468N|uniprotkb:P39429,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-301E,dip-quality-status:core,dip:0002(small scale),,['Cytoplasm']
DIP-433N|refseq:NP_003795|uniprotkb:Q13546,DIP-468N|uniprotkb:P39429,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-313E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),,['Cytoplasm']
DIP-37N|refseq:NP_034996|uniprotkb:P10085,DIP-74N|uniprotkb:P15923,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-439E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],
DIP-167N|refseq:NP_034626|uniprotkb:P41136,DIP-74N|uniprotkb:P15923,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-440E,dip-quality-status:core,dip:0002(small scale),"['Cytoplasm', 'Nucleus']",
DIP-50N|refseq:NP_477189|uniprotkb:P11420,DIP-455N|refseq:NP_032239|uniprotkb:Q64279,taxid:7227(Drosophila melanogaster),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-449E,dip-quality-status:core,dip:0002(small scale),,['Nucleus']
DIP-493N|uniprotkb:Q62311,DIP-677N|refseq:NP_002087|uniprotkb:P35269,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-177E,dip-quality-status:core,dip:0002(small scale),['Nucleus'],
DIP-112N|refseq:NP_056623|uniprotkb:Q64507,DIP-109N|uniprotkb:P15924,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-527E,dip-quality-status:core,dip:0002(small scale),,
DIP-270N|uniprotkb:P45984,DIP-442N|uniprotkb:P42227,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-609E,dip-quality-status:core,dip:0002(small scale),,"['Cytoplasm', 'Nucleus']"
DIP-646N|refseq:NP_034360|uniprotkb:Q05860,DIP-738N|uniprotkb:Q05876,taxid:10090(Mus musculus),taxid:9031(Gallus gallus),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-803E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),"['Cytoplasm', 'Nucleus']",
DIP-296N|refseq:NP_032390|uniprotkb:Q61730,DIP-397N|uniprotkb:P51617,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction)|MI:0218(physical interaction),DIP-811E,dip-quality-status:core,dip:0002(small scale)|dip:0002(small scale),,
DIP-264N|uniprotkb:P62881,DIP-471N|refseq:NP_068774|uniprotkb:P63211,taxid:10090(Mus musculus),taxid:9606(Homo sapiens),MI:0218(physical interaction),DIP-636E,dip-quality-status:core,dip:0002(small scale),,
DIP-1053N|refseq:NP_005345|uniprotkb:P17535,DIP-442N|uniprotkb:P42227,taxid:9606(Homo sapiens),taxid:10090(Mus musculus),MI:0218(physical interaction),DIP-611E,dip-quality-status:core,dip:0002(small scale),,"['Cytoplasm', 'Nucleus']"
