DIP-1749N|refseq:NP_011362|uniprotkb:P53112,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Peroxisome']",['Mitochondrion']
DIP-2272N|refseq:NP_011046|uniprotkb:P40075,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Nucleus', 'Endoplasmic reticulum']",['Mitochondrion']
DIP-4355N|refseq:NP_012919|uniprotkb:P43682,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Golgi apparatus'],['Mitochondrion']
DIP-2821N|refseq:NP_009512|uniprotkb:P23724,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-1408N|refseq:NP_009872|uniprotkb:P25586,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-6412N|refseq:NP_009489|uniprotkb:P34227,DIP-6821N|refseq:NP_010472|uniprotkb:Q04007,['Mitochondrion'],['Cytoplasm']
DIP-1382N|refseq:NP_011323|uniprotkb:P41833,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-17N|refseq:NP_015435|uniprotkb:P07703,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-760N|refseq:NP_012717|uniprotkb:P33418,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-5183N|refseq:NP_010955|uniprotkb:P40026,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-1681N|refseq:NP_010704|uniprotkb:Q04048,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-6310N|refseq:NP_015490|uniprotkb:Q06211,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-3977N|refseq:NP_015129|uniprotkb:Q08951,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Golgi apparatus']",['Mitochondrion']
DIP-1335N|refseq:NP_011349|uniprotkb:P15315,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-4604N|refseq:NP_013111|uniprotkb:Q07923,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Nucleus']",['Mitochondrion']
DIP-800N|refseq:NP_009701|uniprotkb:P12385,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Cytoplasm'],['Mitochondrion']
DIP-3017N|refseq:NP_012646|uniprotkb:P47149,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
DIP-2231N|refseq:NP_015106|uniprotkb:P20606,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,"['Cytoplasm', 'Endoplasmic reticulum', 'Golgi apparatus']",['Mitochondrion']
DIP-1634N|refseq:NP_015508|uniprotkb:P54999,DIP-6412N|refseq:NP_009489|uniprotkb:P34227,['Nucleus'],['Mitochondrion']
